unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"12A8BAB7-0285-2125-E063-4804A8C08CC1","7125000","2023-12-01","EC3N 2LY","O","N","L","","8 - 11","CRESCENT","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/12A8BAB7-0285-2125-E063-4804A8C08CC1/current"
"0E082197-782E-5C09-E063-4704A8C0A10E","7125000","2023-12-01","EC3N 2LY","O","N","L","","8 - 11","CRESCENT","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/0E082197-782E-5C09-E063-4704A8C0A10E/current"
"0E082197-7859-5C09-E063-4704A8C0A10E","487500","2023-11-10","EC3N 2NU","F","N","L","FLAT 111","1","PEPYS STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/0E082197-7859-5C09-E063-4704A8C0A10E/current"
"0B853950-D90A-69A5-E063-4704A8C07DAC","27500000","2023-06-30","EC3R 5DJ","O","N","F","","5 - 10","GREAT TOWER STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/0B853950-D90A-69A5-E063-4704A8C07DAC/current"
"FD226036-9827-4CB7-E053-4804A8C00430","40000000","2023-03-29","EC3R 5DJ","O","N","F","","5 - 10","GREAT TOWER STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/FD226036-9827-4CB7-E053-4804A8C00430/current"
"1061746E-B856-3C34-E063-4804A8C0F9E7","770000","2023-12-21","EC3R 6AL","F","N","L","FLAT 69","SUGAR QUAY, 1","WATER LANE","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/1061746E-B856-3C34-E063-4804A8C0F9E7/current"
"152AB734-01F5-E651-E063-4704A8C061D9","547500","2023-03-23","EC3R 8BT","F","N","L","FLAT 23","WERNA HOUSE, 31","MONUMENT STREET","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/152AB734-01F5-E651-E063-4704A8C061D9/current"
"152AB733-7748-E651-E063-4704A8C061D9","450000","2023-12-20","EC3R 8DR","F","N","L","FLAT 1","6","BOTOLPH ALLEY","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/152AB733-7748-E651-E063-4704A8C061D9/current"
"FFA361DB-82EC-8A03-E053-4804A8C01F61","59153724","2023-06-26","EC3R 8DY","O","N","F","","32","ST MARY AT HILL","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/FFA361DB-82EC-8A03-E053-4804A8C01F61/current"
"0E082197-609A-5C09-E063-4704A8C0A10E","175000","2023-08-01","EC3V 0AG","O","N","L","","20","GRACECHURCH STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/0E082197-609A-5C09-E063-4704A8C0A10E/current"
"1061746E-DBF7-3C34-E063-4804A8C0F9E7","3000000","2023-06-29","EC3V 3PD","O","N","F","","CORNHILL HOUSE, 59 - 60","CORNHILL","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/1061746E-DBF7-3C34-E063-4804A8C0F9E7/current"
"F5E8B080-D193-3A13-E053-6C04A8C060B7","710000","2023-01-20","EC4A 1BF","F","N","L","APARTMENT 16","ST. DUNSTANS HOUSE, 133 - 137","FETTER LANE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/F5E8B080-D193-3A13-E053-6C04A8C060B7/current"
"12A8BAB5-D844-2125-E063-4804A8C08CC1","490000","2023-11-13","EC4A 1BX","F","N","L","FLAT 70","CLIFFORD'S INN","FETTER LANE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/12A8BAB5-D844-2125-E063-4804A8C08CC1/current"
"045A1898-4529-9A24-E063-4804A8C048EA","452000","2023-04-05","EC4A 1BX","F","N","L","FLAT 97","CLIFFORD'S INN","FETTER LANE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/045A1898-4529-9A24-E063-4804A8C048EA/current"
"045A1898-4245-9A24-E063-4804A8C048EA","930000","2023-07-13","EC4A 1BY","F","N","L","FLAT 148","CLIFFORD'S INN","FETTER LANE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/045A1898-4245-9A24-E063-4804A8C048EA/current"
"045A1898-D653-9A24-E063-4804A8C048EA","570000","2023-07-25","EC4A 1BY","F","N","L","FLAT 179","CLIFFORD'S INN","FETTER LANE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/045A1898-D653-9A24-E063-4804A8C048EA/current"
"FD226036-0E32-4CB7-E053-4804A8C00430","1347500","2023-04-21","EC4A 1GP","F","N","L","FLAT 10","2","GREYSTOKE PLACE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FD226036-0E32-4CB7-E053-4804A8C00430/current"
"1775CCF7-D3A1-38BA-E063-4704A8C05A7C","2500000","2023-06-23","EC4A 1JQ","O","N","F","","32","FURNIVAL STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF7-D3A1-38BA-E063-4704A8C05A7C/current"
"0E082197-6093-5C09-E063-4704A8C0A10E","625000","2023-08-31","EC4A 1JQ","O","N","L","APARTMENT 6","ASTON HOUSE, 36 - 37","FURNIVAL STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/0E082197-6093-5C09-E063-4704A8C0A10E/current"
"FFA361DB-88D5-8A03-E053-4804A8C01F61","5750000","2023-04-04","EC4A 1JQ","O","N","F","","40","FURNIVAL STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/FFA361DB-88D5-8A03-E053-4804A8C01F61/current"
"06C9F488-1288-9388-E063-4804A8C0BD98","11250000","2023-03-31","EC4A 1LL","O","N","F","","9 - 13","CURSITOR STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/06C9F488-1288-9388-E063-4804A8C0BD98/current"
"152AB734-81E9-E651-E063-4704A8C061D9","1600000","2023-07-20","EC4A 2EJ","O","N","F","","3","CRANE COURT","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/152AB734-81E9-E651-E063-4704A8C061D9/current"
"09266DDC-4C83-AF90-E063-4704A8C02087","1140000","2023-06-09","EC4A 3AG","O","N","L","","20","ST ANDREW STREET","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/09266DDC-4C83-AF90-E063-4704A8C02087/current"
"045A1898-D619-9A24-E063-4804A8C048EA","660000","2023-03-24","EC4M 7AS","F","N","L","21","1 - 3","LUDGATE SQUARE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/045A1898-D619-9A24-E063-4804A8C048EA/current"
